# Radio PRO 2021.1.0
# © 2015-2021 by crosstales LLC (https://www.crosstales.com)
#
# List of all radio stations from 'RadioProviderUser'
# Created: 16.01.2021
# Name;Url;DataFormat;AudioFormat;Station (optional);Genres (optional);Bitrate (in kbit/s, optional);Rating (0-5, optional);Description (optional);ExcludeCodec (optional);ChunkSize (in KB, optional);BufferSize (in KB, optional);IconUrl (optional);City (optional);Country (optional);Language (optional)
1.FM - Absolute 70's Pop Radio;http://185.33.22.15:11006;Stream;MP3;http://1.fm;decades, 70s;192;4.0;;None;16;64;;Zürich;CH;English
1.FM - Absolute 90's Radio;http://185.33.21.112:80/90s_128;Stream;MP3;http://1.fm;decades, 90s;192;4.0;;None;16;64;;Zürich;CH;English
1.FM - Absolute Country Hits Radio;http://185.33.21.112:11017;Stream;MP3;http://1.fm;country;192;2.0;;None;16;64;;Zürich;CH;English
1.FM - Absolute Pop Latino Radio;http://185.33.21.112:11149;Stream;MP3;http://1.fm;latin pop;192;2.0;;None;16;64;;Zürich;CH;English
1.FM - Absolute TOP 40 Radio;http://185.33.22.15:11250;Stream;MP3;http://1.fm;top 40;192;3.0;;None;16;64;;Zürich;CH;English
1.FM - Absolute Trance (Euro) Radio;http://185.33.21.112:11253;Stream;MP3;http://1.fm;trance;192;4.0;;None;16;64;;Zürich;CH;English
1.FM - Acappella Radio;http://185.33.21.112:11022;Stream;MP3;http://1.fm;pop;128;2.0;;None;16;64;;Zürich;CH;English
1.FM - Adore Jazz Radio;http://185.33.21.112:11025;Stream;MP3;http://1.fm;vocal jazz;128;3.0;;None;16;64;;Zürich;CH;English
1.FM - Adult Urban Hits Choice Radio;http://185.33.21.112:11170;Stream;MP3;http://1.fm;rb and urban;192;4.0;;None;16;64;;Zürich;CH;English
1.FM - Afterbeat Electronica Radio;http://185.33.21.112:11113;Stream;MP3;http://1.fm;electronic;192;4.0;;None;16;64;;Zürich;CH;English
1.FM - All Euro 80's Radio;http://185.33.21.112:11010;Stream;MP3;http://1.fm;decades, 80s;192;5.0;;None;16;64;;Zürich;CH;English
1.FM - America's Best Ballads Radio;http://185.33.21.112:11173;Stream;MP3;http://1.fm;love and romance;192;3.0;;None;16;64;;Zürich;CH;English
1.FM - Amsterdam Trance Radio;http://185.33.21.112:11029;Stream;MP3;http://1.fm;trance;192;4.0;;None;16;64;;Zürich;CH;English
1.FM - Back To The 50's 60's Radio - 64k;http://185.33.21.112:11002;Stream;MP3;http://1.fm;decades, 50s;192;3.0;;None;16;64;;Zürich;CH;English
1.FM - Bay Smooth Jazz Radio;http://185.33.21.112:11230;Stream;MP3;http://1.fm;jazz;192;4.0;;None;16;64;;Zürich;CH;English
1.FM - Bossa Nova Hits Radio;http://185.33.21.112:11049;Stream;MP3;http://1.fm;bossa nova;192;2.0;;None;16;64;;Zürich;CH;English
1.FM - Cafe Radio;http://185.33.21.112:11058;Stream;MP3;http://1.fm;international;192;3.0;;None;16;64;;Zürich;CH;English
1.FM - Chillout Lounge Radio;http://185.33.21.112:11065;Stream;MP3;http://1.fm;lounge;192;4.0;;None;16;64;;Zürich;CH;English
1.FM - Circuit Pride Radio;http://185.33.21.112:11073;Stream;MP3;http://1.fm;house;192;3.0;;None;16;64;;Zürich;CH;English
1.FM - Classic Country Radio;http://185.33.21.112:11061;Stream;MP3;http://1.fm;classic country;192;2.0;;None;16;64;;Zürich;CH;English
1.FM - Classic Rock Replay Radio;http://185.33.21.112:11093;Stream;MP3;http://1.fm;classic rock;192;4.0;;None;16;64;;Zürich;CH;English
1.FM - Costa Del Mar;http://185.33.21.112:11085;Stream;MP3;http://1.fm;easy listening;192;5.0;;None;16;64;;Zürich;CH;English
1.FM - Country One Radio;http://185.33.21.112:11089;Stream;MP3;http://1.fm;country;192;2.0;;None;16;64;;Zürich;CH;English
1.FM - Destination: SPA Radio;http://185.33.21.112:11233;Stream;MP3;http://1.fm;easy listening;128;3.0;;None;16;64;;Zürich;CH;English
1.FM - Dubstep Forward Radio;http://185.33.21.112:11109;Stream;MP3;http://1.fm;dubstep;192;3.0;;None;16;64;;Zürich;CH;English
1.FM - Exitos del Ayer Radio;http://185.33.21.112:11237;Stream;MP3;http://1.fm;international;128;2.0;;None;16;64;;Zürich;CH;English
1.FM - Funky Express Radio;http://185.33.21.112:11121;Stream;MP3;http://1.fm;funk;192;4.0;;None;16;64;;Zürich;CH;English
1.FM - Radio Gaia;http://185.33.21.112:11197;Stream;MP3;http://1.fm;chill;192;4.0;New age, easy listening, instrumental;None;16;64;https://mobzilla.vo.llnwd.net/o2/MobzillaRadio/400x400/18425.jpg;Brasilia;BR;Portuguese
1.FM - High Voltage Radio;http://185.33.21.112:11133;Stream;MP3;http://1.fm;rock;192;4.0;;None;16;64;;Zürich;CH;English
1.FM - Italia On Air Radio;http://185.33.21.112:11137;Stream;MP3;http://1.fm;international;128;3.0;;None;16;64;;Zürich;CH;English
1.FM - Jamz Radio;http://185.33.21.112:11142;Stream;MP3;http://1.fm;hip hop;192;2.0;;None;16;64;;Zürich;CH;English
1.FM - Kids FM Radio;http://185.33.21.112:11145;Stream;MP3;http://1.fm;kids;192;2.0;;None;16;64;;Zürich;CH;English
1.FM - Love Classics Radio;http://185.33.21.112:11153;Stream;MP3;http://1.fm;love and romance;192;3.0;;None;16;64;;Zürich;CH;English
1.FM - Magic 80 Radio;http://185.33.22.15:11158;Stream;MP3;http://1.fm;80s;192;4.0;;None;16;64;;Zürich;CH;English
1.FM - Movie Soundtracks Hits Radio;http://185.33.21.112:11161;Stream;MP3;http://1.fm;soundtracks;192;5.0;;None;16;64;;Zürich;CH;English
1.FM - MPB Hits Radio;http://185.33.21.112:11165;Stream;MP3;http://1.fm;brazilian;128;2.0;;None;16;64;;Zürich;CH;English
1.FM - Otto's Baroque Music Radio;http://185.33.21.112:11038;Stream;MP3;http://1.fm;baroque;320;3.0;;None;16;64;;Zürich;CH;English
1.FM - Otto's Classical Music Radio;http://185.33.21.112:11077;Stream;MP3;http://1.fm;classical;320;4.0;;None;16;64;;Zürich;CH;English
1.FM - ReggaeTrade Radio;http://185.33.22.15:11202;Stream;MP3;http://1.fm;reggae;192;4.0;;None;16;64;;Zürich;CH;English
1.FM - Rock Classics Radio;http://185.33.21.112:11205;Stream;MP3;http://1.fm;rock;192;4.0;;None;16;64;;Zürich;CH;English
1.FM - Samba Hits Brazil Radio;http://185.33.21.112:11209;Stream;MP3;http://1.fm;samba;128;2.0;;None;16;64;;Zürich;CH;English
1.FM - Sax4Ever;http://185.33.21.112:11217;Stream;MP3;http://1.fm;jazz;192;3.0;;None;16;64;;Zürich;CH;English
1.FM - Slow Jamz Radio;http://185.33.22.15:11225;Stream;MP3;http://1.fm;hip hop;192;4.0;;None;16;64;;Zürich;CH;English
1.FM - Top Fiesta Radio;http://185.33.21.112:11241;Stream;MP3;http://1.fm;international;128;3.0;;None;16;64;;Zürich;CH;English
ABC Relax New;http://stream.dar.fm/45093;Stream;MP3;https://abcrelax.com;jazz, soul, blues;128;4.0;ABC Relax est une radio idéale pour des fonds sonores calmes et sympa;None;16;64;https://cdn-radiotime-logos.tunein.com/s224505q.png;;;
ClubTime.FM - 24h Deep-, Tech- and Minimal House and Techno;http://listen.clubtime.fm/tunein-mp3-asx;Stream;MP3;http://www.ClubTime.FM;techno electronic;192;3.0;;None;16;64;;;DE;German
CoreTime.FM - 24h Hardcore, Industrial, Speedcore and More;http://listen.coretime.fm/tunein-mp3-asx;Stream;MP3;http://www.CoreTime.FM;hardcore electronic techno;192;3.0;;None;16;64;;;DE;German
HardBase.FM - 24h Hardstyle, Jumpstyle and More;http://listen.hardbase.fm/tunein-mp3-asx;Stream;MP3;http://www.HardBase.FM;hardstyle hard house electronic techno;192;3.0;;None;16;64;;;DE;German
HouseTime.FM - 24h EDM, House, Electro and More;http://listen.housetime.fm/tunein-mp3-asx;Stream;MP3;http://www.HouseTime.FM;house electronic edm;192;3.0;;None;16;64;;;DE;German
TechnoBase.FM - 24h Techno, Dance, HandsUp and More;http://listen.technobase.fm/tunein-mp3-asx;Stream;MP3;http://www.TechnoBase.FM;dance;192;3.0;;None;16;64;;;DE;German
TranceBase.FM - 24h Vocal-, Progressive-, Uplifting-, Hard-Trance, Techno and More;http://listen.trancebase.fm/tunein-mp3-asx;Stream;MP3;http://www.TranceBase.FM;trance electronic techno;192;3.0;;None;16;64;;;DE;German
Dance Wave!;http://stream.dancewave.online:8080/dance.mp3;Stream;MP3;http://dancewave.online/;club dance electronic house trance;128;4.0;We play of the best Dance, House and Trance tracks.;None;16;64;https://dancewave.online/images/dw.png;Budapest;HU;Other
Pinguin Indie;http://178.18.137.246:80;Stream;MP3;Pinguinradio.com;indie;320;5.0;;None;16;64;https://cdn-radiotime-logos.tunein.com/s45142q.png;;;
Radio Paradise (96k Ogg/Vorbis) - playlist: radioparadise.com;http://stream-sd1.radioparadise.com:80/ogg-96;Stream;OGG;https://radioparadise.com;eclectic;96;2.0;;None;16;64;;;;
Rs Dance Station;http://stream.dar.fm/110768;Stream;MP3;https://rsdancestation.com;music, dance, electronic;128;4.0;You are one click away to you enjoy your own dancing environment 24/7/365.This is your hip dance station for party generation in every nation.;MP3_NLayer;16;64;https://www.imgbox.de/users/roc/RS_transparent_new_512x512.png;Zürich;CH;English
SomaFM Reggae: Stuff [SomaFM];http://ice1.somafm.com/reggae-256-mp3;Stream;MP3;http://somafm.com/reggae/;reggae ska rocksteady;320;5.0;Reggae, Ska, Rocksteady classic and deep tracks.;MP3_NLayer;16;64;http://somafm.com/img3/reggae400.png;San Francisco;US;English
Groove Salad: a nicely chilled plate of ambient beats and grooves. [SomaFM];http://ice1.somafm.com/groovesalad-128-mp3;Stream;MP3;http://somafm.com;ambient chill;128;4.0;A nicely chilled plate of ambient/downtempo beats and grooves.;MP3_NLayer;16;64;http://somafm.com/img3/groovesalad-400.jpg;San Francisco;US;English
Groove Salad Classic: The early days of a nicely chilled plate of ambient beats and grooves. [SomaFM];http://ice1.somafm.com/gsclassic-128-mp3;Stream;MP3;http://somafm.com/gsclassic/;ambient chill;160;4.0;The classic (early 2000s) version of a nicely chilled plate of ambient/downtempo beats and grooves.;MP3_NLayer;16;64;http://somafm.com/img3/gsclassic400.jpg;San Francisco;US;English
SomaFM Special Broadcast [SomaFM];http://ice1.somafm.com/specials-128-mp3;Stream;MP3;http://somafm.com;specials;128;4.0;The classic (early 2000s) version of a nicely chilled plate of ambient/downtempo beats and grooves.;MP3_NLayer;16;64;http://somafm.com/img3/specials-400.jpg;San Francisco;US;English
Deep Space One: Deep ambient electronic and space music. [SomaFM];http://ice1.somafm.com/deepspaceone-128-mp3;Stream;MP3;http://somafm.com;ambient space;128;4.0;Deep ambient electronic, experimental and space music. For inner and outer space exploration.;MP3_NLayer;16;64;http://somafm.com/img3/deepspaceone-400.jpg;San Francisco;US;English
Space Station Soma: Tune in, turn on, space out. Ambient and mid-tempo electronica. [SomaFM];http://ice1.somafm.com/spacestation-128-mp3;Stream;MP3;http://somafm.com;space electronica;128;4.0;Tune in, turn on, space out. Spaced-out ambient and mid-tempo electronica.;MP3_NLayer;16;64;http://somafm.com/img3/spacestation-400.jpg;San Francisco;US;English
Def Con Radio: SomaFM's special mix for Def Con [SomaFM];http://ice1.somafm.com/defcon-128-mp3;Stream;MP3;http://somafm.com/defcon/;electronic hacking;128;4.0;Music for Hacking. The DEF CON Year-Round Channel.;MP3_NLayer;16;64;http://somafm.com/img3/defcon-400.jpg;San Francisco;US;English
The Trip:  Tip top tunes. [SomaFM];http://ice1.somafm.com/thetrip-128-mp3;Stream;MP3;http://somafm.com/;dance trance house;128;4.0;Progressive house / trance. Tip top tunes.;None;16;64;http://somafm.com/img3/thetrip-400.jpg;San Francisco;US;English
Seven Inch Soul: Vintage soul tracks from the original 45 RPM vinyl. [SomaFM];http://ice1.somafm.com/7soul-128-mp3;Stream;MP3;http://somafm.com;soul oldies;160;3.0;Vintage soul tracks from the original 45 RPM vinyl.;None;16;64;http://somafm.com/img3/7soul-400.jpg;San Francisco;US;English
Left Coast 70s: Mellow album rock from the Seventies. Yacht friendly. [SomaFM];http://ice1.somafm.com/seventies-320-mp3;Stream;MP3;http://somafm.com;mellow 70s;320;5.0;Mellow album rock from the Seventies. Yacht friendly.;None;16;64;http://somafm.com/img3/seventies400.jpg;San Francisco;US;English
Underground Eighties: UK Synthpop and a bit of New Wave. [SomaFM];http://ice1.somafm.com/u80s-256-mp3;Stream;MP3;http://somafm.com;80s new wave synthpop;256;5.0;Early 80s UK Synthpop and a bit of New Wave.;None;16;64;http://somafm.com/img3/u80s-400.png;San Francisco;US;English
Secret Agent: The soundtrack for your stylish, mysterious, dangerous life. For Spys and P.I.'s too! [SomaFM];http://ice1.somafm.com/secretagent-128-mp3;Stream;MP3;http://www.somafm.com;downtempo lounge spy;128;4.0;The soundtrack for your stylish, mysterious, dangerous life. For Spies and PIs too!;MP3_NLayer;16;64;http://somafm.com/img3/secretagent-400.jpg;San Francisco;US;English
Lush: Mostly female vocals with an electronic influence. [SomaFM];http://ice1.somafm.com/lush-128-mp3;Stream;MP3;http://somafm.com;female vocal electronica;128;4.0;Sensuous and mellow vocals, mostly female, with an electronic influence.;MP3_NLayer;16;64;http://somafm.com/img3/lush-400.jpg;San Francisco;US;English
Thistle Radio: An exploration of music from Celtic roots [SomaFM];http://ice1.somafm.com/thistle-128-mp3;Stream;MP3;http://somafm.com;celtic roots;128;4.0;Exploring music from Celtic roots and branches.;MP3_NLayer;16;64;http://somafm.com/img3/thistle-400.jpg;San Francisco;US;English
Fluid: Drown in the electronic sound of instrumental hiphop, future soul and liquid trap. [SomaFM];http://ice1.somafm.com/fluid-128-mp3;Stream;MP3;http://somafm.com;hiphop future soul;128;4.0;Drown in the electronic sound of instrumental hiphop, future soul and liquid trap.;MP3_NLayer;16;64;http://somafm.com/img3/fluid-400.jpg;San Francisco;US;English
PopTron: Electro-Pop and Indie Dance Rock [SomaFM];http://ice1.somafm.com/poptron-128-mp3;Stream;MP3;http://somafm.com;electro pop;128;5.0;Electropop and indie dance rock with sparkle and pop.;MP3_NLayer;16;64;http://somafm.com/img3/poptron-400.jpg;San Francisco;US;English
Drone Zone: Atmospheric ambient space music. Serve Best Chilled. Safe with most medications. [SomaFM];http://ice1.somafm.com/dronezone-128-mp3;Stream;MP3;http://www.somafm.com;techno ambient space;128;4.0;Served best chilled, safe with most medications. Atmospheric textures with minimal beats.;MP3_NLayer;16;64;http://somafm.com/img3/dronezone-400.jpg;San Francisco;US;English
Beat Blender: A late night blend of deep-house & downtempo chill. [SomaFM];http://ice1.somafm.com/beatblender-128-mp3;Stream;MP3;http://SomaFM.com/;downtempo house techno;128;3.0;A late night blend of deep-house and downtempo chill.;MP3_NLayer;16;64;http://somafm.com/img3/beatblender-400.jpg;San Francisco;US;English
Boot Liquor: Americana roots music for Cowhands, Cowpokes and Cowtippers. [SomaFM];http://ice1.somafm.com/bootliquor-320-mp3;Stream;MP3;http://somafm.com/bootliquor;country;320;3.0;Americana Roots music for Cowhands, Cowpokes and Cowtippers.;None;16;64;http://somafm.com/img3/bootliquor-400.jpg;San Francisco;US;English
Ill Street Lounge: Classic bachelor pad, playful exotica and vintage music of tomorrow. [SomaFM];http://ice1.somafm.com/illstreet-128-mp3;Stream;MP3;http://somafm.com;exotica lounge;128;3.0;Classic bachelor pad, playful exotica and vintage music of tomorrow.;MP3_NLayer;16;64;http://somafm.com/img3/illstreet-400.jpg;San Francisco;US;English
BAGeL Radio: What alternative rock radio should sound like. [SomaFM];http://ice1.somafm.com/bagel-128-mp3;Stream;MP3;http://somafm.com/bagel;alternative rock;128;4.0;What alternative rock radio should sound like.;None;16;64;http://somafm.com/img3/bagel-400.jpg;San Francisco;US;English
SomaFM presents: Indie Pop Rocks! [SomaFM];http://ice1.somafm.com/indiepop-128-mp3;Stream;MP3;http://somafm.com/recent?indie;indie lofi college;128;4.0;New and classic favorite indie pop tracks.;MP3_NLayer;16;64;http://somafm.com/img3/indiepop-400.jpg;San Francisco;US;English
Digitalis. Analog rock, digitally-affected, to calm the agitated heart. [SomaFM];http://ice1.somafm.com/digitalis-128-mp3;Stream;MP3;http://somafm.com;indie post rock;128;5.0;Digitally affected analog rock to calm the agitated heart.;MP3_NLayer;16;64;http://somafm.com/img3/digitalis-400.jpg;San Francisco;US;English
Folk Forward: Indie Folk, Alt-folk and the occasional folk classics. [SomaFM];http://ice1.somafm.com/folkfwd-128-mp3;Stream;MP3;http://somafm.com;folk indie newgrass;128;3.0;Indie Folk, Alt-folk and the occasional folk classics.;MP3_NLayer;16;64;http://somafm.com/img3/folkfwd-400.jpg;San Francisco;US;English
<-- cliqhop --> blips'n'bleeps backed w/ beats. [SomaFM];http://ice1.somafm.com/cliqhop-128-mp3;Stream;MP3;http://SomaFM.com;idm;128;4.0;Blips'n'beeps backed mostly w/beats. Intelligent Dance Music.;MP3_NLayer;16;64;http://somafm.com/img3/cliqhop-400.jpg;San Francisco;US;English
Dub Step Beyond: Dubstep, Dub and Deep Bass. May damage speakers at high volume. [SomaFM];http://ice1.somafm.com/dubstep-256-mp3;Stream;MP3;http://somafm.com;experimental eclectic;256;5.0;Dubstep, Dub and Deep Bass. May damage speakers at high volume.;None;16;64;http://somafm.com/img3/dubstep-400.jpg;San Francisco;US;English
Suburbs of Goa: Desi-influenced Asian world beats. [SomaFM];http://ice1.somafm.com/suburbsofgoa-128-mp3;Stream;MP3;http://somafm.com;indian asian;128;3.0;Desi-influenced Asian world beats and beyond.;MP3_NLayer;16;64;http://somafm.com/img3/suburbsofgoa-400.jpg;San Francisco;US;English
